Heuristic, Board, Score, Path Length, Nodes Expanded, Branching Factor
1, grid10.txt, 452, 14, 1373, 1.6754031362849542
2, grid10.txt, 452, 14, 1306, 1.6694267563742673
3, grid10.txt, 452, 14, 1201, 1.6594621746877123
4, grid10.txt, 452, 14, 1122, 1.6514165499496818
5, grid10.txt, 452, 14, 1083, 1.647248707572381
6, grid10.txt, 452, 14, 584, 1.576162235342655
1, grid20.txt, 451, 26, 3935, 1.374887315528523
2, grid20.txt, 451, 26, 3248, 1.3647784447103215
3, grid20.txt, 451, 26, 2733, 1.3557463608962086
4, grid20.txt, 451, 26, 2200, 1.3444811525406863
5, grid20.txt, 451, 26, 2035, 1.340455735968751
6, grid20.txt, 451, 26, 399, 1.2590338862120938
1, grid25.txt, 445, 23, 5333, 1.452252867825247
2, grid25.txt, 445, 23, 4405, 1.4402319166396147
3, grid25.txt, 445, 23, 3528, 1.4263968559133864
4, grid25.txt, 445, 23, 2838, 1.4129635986747302
5, grid25.txt, 445, 23, 2691, 1.4096999440684879
6, grid25.txt, 442, 24, 333, 1.273801755459879
1, grid35.txt, 382, 21, 9883, 1.549647071147016
2, grid35.txt, 382, 21, 9147, 1.5439467514463772
3, grid35.txt, 382, 21, 7290, 1.5273529431373964
4, grid35.txt, 382, 21, 6619, 1.520346204806983
5, grid35.txt, 382, 21, 6425, 1.5181940743433824
6, grid35.txt, 382, 21, 1952, 1.434463542423654
1, grid50.txt, 348, 40, 28015, 1.2917687251045211
2, grid50.txt, 348, 40, 27303, 1.2909376265405272
3, grid50.txt, 348, 40, 21002, 1.2824974679548762
4, grid50.txt, 348, 40, 19232, 1.279677727619288
5, grid50.txt, 348, 40, 18996, 1.2792827799714332
6, grid50.txt, 348, 40, 4596, 1.2346944628553804
